system_time,midpoint,spread,rel_spread,imbalance,weighted_bid_distance
2021-04-14 13:00:00.127926+00:00,1.42345,0.0013,0.000913274,-0.594213,-0.00117381
2021-04-14 13:01:00.127926+00:00,1.4292,0.002,0.00139938,-0.184385,-0.00165264
2021-04-14 13:02:00.127926+00:00,1.4391,0.0018,0.00125078,-0.0396774,-0.00157722
2021-04-14 13:03:00.127926+00:00,1.4382,0.0014,0.000973439,0.235026,-0.00130203
2021-04-14 13:04:00.127926+00:00,1.44325,0.0011,0.000762169,0.472682,-0.00118578
2021-04-14 13:05:00.127926+00:00,1.4458,0.0008,0.000553327,0.233399,-0.00116351
2021-04-14 13:06:00.127926+00:00,1.4448,0.0008,0.00055371,0.0449828,-0.0013277
2021-04-14 13:07:00.127926+00:00,1.44685,0.0015,0.00103673,0.285232,-0.00126201
2021-04-14 13:08:00.127926+00:00,1.44625,0.0007,0.00048401,0.166747,-0.00119942
2021-04-14 13:09:00.127926+00:00,1.44845,0.0005,0.000345197,-0.243686,-0.00119154
2021-04-14 13:10:00.127926+00:00,1.4514,0.0008,0.000551192,0.0554628,-0.00131771
2021-04-14 13:11:00.127926+00:00,1.4453,0.0016,0.00110704,-0.197598,-0.00145427
2021-04-14 13:12:00.127926+00:00,1.44175,0.0013,0.000901682,-0.0382678,-0.00127381
2021-04-14 13:13:00.127926+00:00,1.43705,0.0017,0.00118298,-0.156771,-0.00185712
2021-04-14 13:14:00.127926+00:00,1.4319,0.0006,0.000419024,-0.352179,-0.00145436
2021-04-14 13:15:00.127926+00:00,1.4301,0.0014,0.000978953,0.0698012,-0.00111986
2021-04-14 13:16:00.127926+00:00,1.43165,0.0009,0.000628645,0.108951,-0.00142337
2021-04-14 13:17:00.127926+00:00,1.43585,0.0001,6.96452e-05,0.258878,-0.00109657
2021-04-14 13:18:00.127926+00:00,1.43815,0.0009,0.000625804,0.121257,-0.00119499
2021-04-14 13:19:00.127926+00:00,1.4399,0.001,0.000694493,-0.0825906,-0.00121683
2021-04-14 13:20:00.127926+00:00,1.445,0.0008,0.000553633,-0.0321414,-0.000959431
2021-04-14 13:21:00.127926+00:00,1.43905,0.0011,0.000764393,-0.0615947,-0.00121375
2021-04-14 13:22:00.127926+00:00,1.43925,0.0011,0.000764287,-0.0881438,-0.00158383
2021-04-14 13:23:00.127926+00:00,1.44055,0.0011,0.000763597,-0.0294519,-0.00142453
2021-04-14 13:24:00.127926+00:00,1.4365,0.0004,0.000278455,-0.0641105,-0.00145331
2021-04-14 13:25:00.127926+00:00,1.43525,0.0007,0.00048772,0.0945298,-0.0013688
2021-04-14 13:26:00.127926+00:00,1.42475,0.0011,0.000772065,-0.19502,-0.0014594
2021-04-14 13:27:00.127926+00:00,1.4274,0.0014,0.000980804,0.28803,-0.00151243
2021-04-14 13:28:00.127926+00:00,1.43085,0.0007,0.00048922,0.0886261,-0.00151498
2021-04-14 13:29:00.127926+00:00,1.424,0.0016,0.0011236,0.0465487,-0.00156816
2021-04-14 13:30:00.127926+00:00,1.42245,0.0011,0.000773314,-0.107111,-0.000935005
2021-04-14 13:31:00.127926+00:00,1.4087,0.001,0.000709874,-0.88824,-0.00129592
2021-04-14 13:32:00.127926+00:00,1.4053,0.0008,0.000569273,-0.244648,-0.00163522
2021-04-14 13:33:00.127926+00:00,1.4142,0.0004,0.000282845,0.31942,-0.0015543
2021-04-14 13:34:00.127926+00:00,1.4271,0.001,0.000700722,0.173624,-0.0012286
2021-04-14 13:35:00.127926+00:00,1.4341,0.0012,0.000836762,-0.0718463,-0.00169312
2021-04-14 13:36:00.127926+00:00,1.4338,0.0014,0.000976426,0.379313,-0.00191853
2021-04-14 13:37:00.127926+00:00,1.4366,0.0018,0.00125296,0.722864,-0.00167386
2021-04-14 13:38:00.127926+00:00,1.43495,0.0007,0.000487822,0.0199555,-0.00136162
2021-04-14 13:39:00.127926+00:00,1.4304,0.0008,0.000559284,-0.300631,-0.001593
2021-04-14 13:40:00.127926+00:00,1.4328,0.001,0.000697934,-0.307811,-0.00122401
2021-04-14 13:41:00.127926+00:00,1.426,0.001,0.000701262,-0.51575,-0.00161127
2021-04-14 13:42:00.127926+00:00,1.42125,0.0015,0.00105541,-0.293839,-0.00123991
2021-04-14 13:43:00.127926+00:00,1.41885,0.0007,0.000493357,0.206562,-0.00135459
2021-04-14 13:44:00.127926+00:00,1.41935,0.0009,0.000634093,0.0233073,-0.000921756
2021-04-14 13:45:00.127926+00:00,1.4197,0.001,0.000704374,0.159616,-0.00139844
2021-04-14 13:46:00.127926+00:00,1.4224,0.0022,0.00154668,0.0660914,-0.00130221
2021-04-14 13:47:00.127926+00:00,1.4312,0.0016,0.00111794,0.332962,-0.00158306
2021-04-14 13:48:00.127926+00:00,1.42885,0.0013,0.000909823,0.0798526,-0.00123139
2021-04-14 13:49:00.127926+00:00,1.42775,0.0017,0.00119068,-0.191028,-0.00127963
2021-04-14 13:50:00.127926+00:00,1.43245,0.0011,0.000767915,0.18883,-0.00150309
2021-04-14 13:51:00.127926+00:00,1.42835,0.0015,0.00105016,0.262032,-0.00115938
2021-04-14 13:52:00.127926+00:00,1.42135,0.0011,0.000773912,0.242698,-0.00128657
2021-04-14 13:53:00.127926+00:00,1.4208,0.0004,0.000281532,-0.367914,-0.00156157
2021-04-14 13:54:00.127926+00:00,1.4206,0.0014,0.000985499,0.158156,-0.00162507
2021-04-14 13:55:00.127926+00:00,1.42045,0.0007,0.000492802,0.141274,-0.000754415
2021-04-14 13:56:00.127926+00:00,1.41505,0.0007,0.000494682,0.0883636,-0.00104441
2021-04-14 13:57:00.127926+00:00,1.4147,0.0008,0.000565491,-0.221466,-0.00102424
2021-04-14 13:58:00.127926+00:00,1.42045,0.0007,0.000492802,0.0229829,-0.000958286
2021-04-14 13:59:00.127926+00:00,1.42135,0.0011,0.000773912,0.121461,-0.00138243
2021-04-14 14:00:00.127926+00:00,1.4202,0.0004,0.00028165,0.0144029,-0.00137836
2021-04-14 14:01:00.127926+00:00,1.4129,0.0014,0.00099087,-0.226674,-0.00102178
2021-04-14 14:02:00.127926+00:00,1.40285,0.0011,0.000784118,-0.270432,-0.000930401
2021-04-14 14:03:00.127926+00:00,1.3928,0.0014,0.00100517,-0.665675,-0.00134099
2021-04-14 14:04:00.127926+00:00,1.40715,0.0013,0.000923853,-0.084885,-0.00124688
2021-04-14 14:05:00.127926+00:00,1.4068,0.0008,0.000568666,0.2696,-0.00202835
2021-04-14 14:06:00.127926+00:00,1.40365,0.0017,0.00121113,-0.229185,-0.00167515
2021-04-14 14:07:00.127926+00:00,1.3995,0.0014,0.00100036,-0.291174,-0.00146116
2021-04-14 14:08:00.127926+00:00,1.40365,0.0013,0.000926157,-0.253296,-0.00143535
2021-04-14 14:09:00.127926+00:00,1.3961,0.0016,0.00114605,-0.0524902,-0.00125365
2021-04-14 14:10:00.127926+00:00,1.38675,0.0007,0.000504777,-0.303297,-0.000944084
2021-04-14 14:11:00.127926+00:00,1.3908,0.0008,0.000575209,-0.368063,-0.00172195
2021-04-14 14:12:00.127926+00:00,1.38045,0.0009,0.000651961,-0.124919,-0.00082966
2021-04-14 14:13:00.127926+00:00,1.37635,0.0021,0.00152577,-0.018774,-0.00175563
2021-04-14 14:14:00.127926+00:00,1.37065,0.0013,0.000948455,-0.394795,-0.000705144
2021-04-14 14:15:00.127926+00:00,1.3529,0.0022,0.00162614,0.473154,-0.00206752
2021-04-14 14:16:00.127926+00:00,1.36455,0.0017,0.00124583,0.0815733,-0.00125601
2021-04-14 14:17:00.127926+00:00,1.38415,0.0017,0.00122819,0.405947,-0.00204003
2021-04-14 14:18:00.127926+00:00,1.3803,0.001,0.00072448,-0.290502,-0.0017277
2021-04-14 14:19:00.127926+00:00,1.38155,0.0005,0.000361912,0.214279,-0.0016435
2021-04-14 14:20:00.127926+00:00,1.3658,0.0002,0.000146434,-0.273795,-0.00136615
2021-04-14 14:21:00.127926+00:00,1.37605,0.0007,0.000508702,-0.380595,-0.00235856
2021-04-14 14:22:00.127926+00:00,1.38815,0.0009,0.000648345,0.572414,-0.001931
2021-04-14 14:23:00.127926+00:00,1.3906,0.0012,0.000862937,-0.0963395,-0.00162867
2021-04-14 14:24:00.127926+00:00,1.38985,0.0009,0.000647552,-0.306508,-0.00141142
2021-04-14 14:25:00.127926+00:00,1.3898,0.0012,0.000863434,-0.236357,-0.00174454
2021-04-14 14:26:00.127926+00:00,1.3784,0.001,0.000725479,-0.528659,-0.0011182
2021-04-14 14:27:00.127926+00:00,1.38565,0.0005,0.000360841,0.0790379,-0.00102913
2021-04-14 14:28:00.127926+00:00,1.3882,0.002,0.00144071,0.0337751,-0.00171414
2021-04-14 14:29:00.127926+00:00,1.39025,0.0011,0.000791225,-0.254294,-0.00145425
2021-04-14 14:30:00.127926+00:00,1.3887,0.0012,0.000864118,-0.529194,-0.00126238
2021-04-14 14:31:00.127926+00:00,1.38685,0.0009,0.000648953,-0.167028,-0.00145222
2021-04-14 14:32:00.127926+00:00,1.40065,0.0019,0.00135651,0.152722,-0.0015982
2021-04-14 14:33:00.127926+00:00,1.40515,0.0017,0.00120984,-0.320388,-0.00128118
2021-04-14 14:34:00.127926+00:00,1.4092,0.0014,0.000993471,0.0171141,-0.00149206
2021-04-14 14:35:00.127926+00:00,1.4111,0.0012,0.0008504,0.335408,-0.00166545
2021-04-14 14:36:00.127926+00:00,1.40625,0.0011,0.000782222,-0.184528,-0.00114241
2021-04-14 14:37:00.127926+00:00,1.40295,0.0011,0.000784062,0.129255,-0.00128508
2021-04-14 14:38:00.127926+00:00,1.4071,0.0004,0.000284273,0.148475,-0.00151237
2021-04-14 14:39:00.127926+00:00,1.40415,0.0009,0.000640957,0.174627,-0.00104864
2021-04-14 14:40:00.127926+00:00,1.40715,0.0013,0.000923853,-0.180294,-0.00148522
2021-04-14 14:41:00.127926+00:00,1.40825,0.0005,0.000355051,-0.174779,-0.00151981
2021-04-14 14:42:00.127926+00:00,1.4066,0.0004,0.000284374,0.385466,-0.00114932
2021-04-14 14:43:00.127926+00:00,1.40415,0.0015,0.00106826,0.227375,-0.00105852
2021-04-14 14:44:00.127926+00:00,1.39845,0.0013,0.000929601,0.125842,-0.00115905
2021-04-14 14:45:00.127926+00:00,1.39805,0.0009,0.000643754,0.0777958,-0.00122299
2021-04-14 14:46:00.127926+00:00,1.4063,0.0014,0.00099552,-0.395815,-0.001609
2021-04-14 14:47:00.127926+00:00,1.40435,0.0011,0.000783281,-0.345604,-0.0014976
2021-04-14 14:48:00.127926+00:00,1.40485,0.0005,0.00035591,-0.0245169,-0.00124987
2021-04-14 14:49:00.127926+00:00,1.41435,0.0009,0.000636335,-0.149699,-0.00146827
2021-04-14 14:50:00.127926+00:00,1.4145,0.0008,0.000565571,-0.0676518,-0.00118062
2021-04-14 14:51:00.127926+00:00,1.4125,0.001,0.000707965,-0.0985158,-0.0012028
2021-04-14 14:52:00.127926+00:00,1.40825,0.0001,7.10101e-05,0.0171579,-0.0011582
2021-04-14 14:53:00.127926+00:00,1.4067,0.0008,0.000568707,-0.372918,-0.00133117
2021-04-14 14:54:00.127926+00:00,1.40455,0.0013,0.000925563,0.149333,-0.00125946
2021-04-14 14:55:00.127926+00:00,1.4043,0.0012,0.000854518,0.154803,-0.00134626
2021-04-14 14:56:00.127926+00:00,1.3966,0.0012,0.00085923,-0.553072,-0.00144225
2021-04-14 14:57:00.127926+00:00,1.3991,0.0018,0.00128654,0.0198646,-0.00135513
2021-04-14 14:58:00.127926+00:00,1.39825,0.0009,0.000643662,0.142891,-0.00101005
2021-04-14 14:59:00.127926+00:00,1.40195,0.0013,0.00092728,0.0683455,-0.00128343
2021-04-14 15:00:00.127926+00:00,1.39695,0.0017,0.00121694,-0.0985943,-0.00128795
2021-04-14 15:01:00.127926+00:00,1.3849,0.0002,0.000144415,-0.231858,-0.000927282
2021-04-14 15:02:00.127926+00:00,1.3908,0.0014,0.00100661,-0.0626368,-0.0015083
2021-04-14 15:03:00.127926+00:00,1.4036,0.0016,0.00113993,0.485295,-0.00153519
2021-04-14 15:04:00.127926+00:00,1.40335,0.0017,0.00121139,0.11849,-0.00102386
2021-04-14 15:05:00.127926+00:00,1.40365,0.0007,0.0004987,0.432435,-0.0012545
2021-04-14 15:06:00.127926+00:00,1.40675,0.0013,0.000924116,0.0476785,-0.00127249
2021-04-14 15:07:00.127926+00:00,1.4123,0.001,0.000708065,0.182931,-0.00115598
2021-04-14 15:08:00.127926+00:00,1.41665,0.0013,0.000917658,0.391351,-0.00120678
2021-04-14 15:09:00.127926+00:00,1.41605,0.0007,0.000494333,0.571189,-0.000656972
2021-04-14 15:10:00.127926+00:00,1.41775,0.0009,0.000634809,0.328455,-0.00152617
2021-04-14 15:11:00.127926+00:00,1.41575,0.0007,0.000494438,0.210951,-0.000501594
2021-04-14 15:12:00.127926+00:00,1.4162,0.0012,0.000847338,-0.125073,-0.000855786
2021-04-14 15:13:00.127926+00:00,1.4187,0.0012,0.000845845,-0.284445,-0.00156491
2021-04-14 15:14:00.127926+00:00,1.41555,0.0009,0.000635795,0.131407,-0.00125763
2021-04-14 15:15:00.127926+00:00,1.41865,0.0007,0.000493427,0.0643896,-0.00112262
2021-04-14 15:16:00.127926+00:00,1.42275,0.0011,0.000773151,0.224648,-0.00109717
2021-04-14 15:17:00.127926+00:00,1.42665,0.0015,0.00105141,0.124407,-0.00139663
2021-04-14 15:18:00.127926+00:00,1.4379,0.0022,0.00153001,0.030557,-0.00170156
2021-04-14 15:19:00.127926+00:00,1.44025,0.0015,0.00104149,-0.148077,-0.00155057
2021-04-14 15:20:00.127926+00:00,1.4412,0.0014,0.000971413,-0.0420632,-0.00131438
2021-04-14 15:21:00.127926+00:00,1.43555,0.0009,0.000626937,-0.306326,-0.00113888
2021-04-14 15:22:00.127926+00:00,1.44,0.0012,0.000833333,0.278082,-0.000911361
2021-04-14 15:23:00.127926+00:00,1.4359,0.0004,0.000278571,-0.199022,-0.00115143
2021-04-14 15:24:00.127926+00:00,1.4368,0.0014,0.000974388,-0.371964,-0.00124291
2021-04-14 15:25:00.127926+00:00,1.43665,0.0011,0.00076567,-0.453849,-0.00143876
2021-04-14 15:26:00.127926+00:00,1.43745,0.0011,0.000765244,-0.214988,-0.00125733
2021-04-14 15:27:00.127926+00:00,1.4361,0.001,0.00069633,0.0559559,-0.00121129
2021-04-14 15:28:00.127926+00:00,1.42765,0.0005,0.000350226,-0.580602,-0.00108168
2021-04-14 15:29:00.127926+00:00,1.4233,0.0016,0.00112415,-0.34699,-0.00149359
2021-04-14 15:30:00.127926+00:00,1.41925,0.0009,0.000634138,-0.236444,-0.000939364
2021-04-14 15:31:00.127926+00:00,1.42915,0.0011,0.000769688,-0.534011,-0.00110774
2021-04-14 15:32:00.127926+00:00,1.42435,0.0009,0.000631867,0.0746127,-0.00109263
2021-04-14 15:33:00.127926+00:00,1.40755,0.0001,7.10454e-05,-0.518851,-0.00148116
2021-04-14 15:34:00.127926+00:00,1.411,0.0008,0.000566974,-0.205787,-0.00124459
2021-04-14 15:35:00.127926+00:00,1.4185,0.001,0.00070497,0.0994829,-0.00123299
2021-04-14 15:36:00.127926+00:00,1.42665,0.0005,0.000350471,0.159251,-0.00167898
2021-04-14 15:37:00.127926+00:00,1.42245,0.0013,0.000913916,-0.33867,-0.00131412
2021-04-14 15:38:00.127926+00:00,1.4187,0.0004,0.000281948,-0.323321,-0.00103497
2021-04-14 15:39:00.127926+00:00,1.42065,0.0015,0.00105585,-0.154824,-0.00101608
2021-04-14 15:40:00.127926+00:00,1.40855,0.0013,0.000922935,0.0275533,-0.00179487
2021-04-14 15:41:00.127926+00:00,1.41765,0.0015,0.00105809,-0.0767673,-0.00124267
2021-04-14 15:42:00.127926+00:00,1.4229,0.0012,0.000843348,-0.366054,-0.00100494
2021-04-14 15:43:00.127926+00:00,1.42135,0.0009,0.000633201,0.141624,-0.0010612
2021-04-14 15:44:00.127926+00:00,1.42495,0.0001,7.01779e-05,0.248778,-0.0010273
2021-04-14 15:45:00.127926+00:00,1.4276,0.0002,0.000140095,-0.20537,-0.00104245
2021-04-14 15:46:00.127926+00:00,1.42005,0.0001,7.04201e-05,-0.486305,-0.00167424
2021-04-14 15:47:00.127926+00:00,1.4217,0.001,0.000703383,0.382196,-0.00114896
2021-04-14 15:48:00.127926+00:00,1.42295,0.0007,0.000491936,-0.266755,-0.0013441
2021-04-14 15:49:00.127926+00:00,1.42605,0.0009,0.000631114,0.408421,-0.0015329
2021-04-14 15:50:00.127926+00:00,1.4292,0.0014,0.000979569,0.264285,-0.00141695
2021-04-14 15:51:00.127926+00:00,1.4335,0.0008,0.000558075,0.0175604,-0.00116504
